Game Date,Player Name,Position,Team,Opponent,Period 1 - SOG,Period 2 - SOG,Period 3 - SOG,Total SOG,Period 1 - Blocked,Period 1 - Missed,Period 1 - Failed Shots,Period 2 - Blocked,Period 2 - Missed,Period 2 - Failed Shots,Period 3 - Blocked,Period 3 - Missed,Period 3 - Failed Shots,SUM of Failed Shots,SUM of Shot Attempts,Shot %,Failed Shot %
10/19/2024,Tage Thompson,C,Buffalo Sabres,Chicago Blackhawks,2,0,0,2,1,1,2,0,1,1,0,0,0,3,5,40,60
10/19/2024,Alex Tuch,RW,Buffalo Sabres,Chicago Blackhawks,0,1,2,3,0,0,0,0,0,0,1,1,2,2,5,60,40
10/19/2024,Jason Zucker,LW,Buffalo Sabres,Chicago Blackhawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
10/22/2024,Bowen Byram,D,Buffalo Sabres,Dallas Stars,1,0,0,1,0,0,0,0,0,0,0,1,1,1,2,50,50
10/22/2024,Connor Clifton,D,Buffalo Sabres,Dallas Stars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2024,Dylan Cozens,C,Buffalo Sabres,Dallas Stars,2,2,0,4,0,0,0,0,0,0,1,2,3,3,7,57.14285714,42.85714286
10/22/2024,Rasmus Dahlin,D,Buffalo Sabres,Dallas Stars,3,2,0,5,1,1,2,2,0,2,0,0,0,4,9,55.55555556,44.44444444
10/22/2024,Jordan Greenway,LW,Buffalo Sabres,Dallas Stars,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2,50,50
10/22/2024,Henri Jokiharju,D,Buffalo Sabres,Dallas Stars,0,1,0,1,1,0,1,1,0,1,1,0,1,3,4,25,75
10/22/2024,Peyton Krebs,C,Buffalo Sabres,Dallas Stars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2024,Jiri Kulich,C,Buffalo Sabres,Dallas Stars,0,0,0,0,2,0,2,0,2,2,0,0,0,4,4,0,100
10/22/2024,Sam Lafferty,C,Buffalo Sabres,Dallas Stars,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,100
10/22/2024,Beck Malenstyn,LW,Buffalo Sabres,Dallas Stars,1,0,0,1,0,0,0,1,0,1,0,0,0,1,2,50,50
